server_name,score,tool_count,repo_url,grade_page,badge_md
io.github.DigbyO/colour-memory,100,71,https://github.com/DigbyO/colour-memory-api,https://mcpqueen.com/s/io.github.DigbyO/colour-memory,[![MCP Queen grade](https://mcpqueen.com/badge/io.github.DigbyO/colour-memory.svg)](https://mcpqueen.com/s/io.github.DigbyO/colour-memory)
ai.thinkneo/control-plane,100,68,https://github.com/thinkneo-ai/mcp-server,https://mcpqueen.com/s/ai.thinkneo/control-plane,[![MCP Queen grade](https://mcpqueen.com/badge/ai.thinkneo/control-plane.svg)](https://mcpqueen.com/s/ai.thinkneo/control-plane)
app.onehaus/haus,100,68,https://github.com/Im5tu/haus,https://mcpqueen.com/s/app.onehaus/haus,[![MCP Queen grade](https://mcpqueen.com/badge/app.onehaus/haus.svg)](https://mcpqueen.com/s/app.onehaus/haus)
io.github.SidneyBissoli/senado-br-mcp-cloudflare,100,67,https://github.com/SidneyBissoli/senado-br-mcp-cloudflare,https://mcpqueen.com/s/io.github.SidneyBissoli/senado-br-mcp-cloudflare,[![MCP Queen grade](https://mcpqueen.com/badge/io.github.SidneyBissoli/senado-br-mcp-cloudflare.svg)](https://mcpqueen.com/s/io.github.SidneyBissoli/senado-br-mcp-cloudflare)
exchange.merx/mcp,100,66,https://github.com/Hovsteder/merx-mcp,https://mcpqueen.com/s/exchange.merx/mcp,[![MCP Queen grade](https://mcpqueen.com/badge/exchange.merx/mcp.svg)](https://mcpqueen.com/s/exchange.merx/mcp)
tools.growthkit/revenue-intelligence,100,66,https://github.com/growthkit-tools/mcp,https://mcpqueen.com/s/tools.growthkit/revenue-intelligence,[![MCP Queen grade](https://mcpqueen.com/badge/tools.growthkit/revenue-intelligence.svg)](https://mcpqueen.com/s/tools.growthkit/revenue-intelligence)
us.namasteamerica/namaste-america,100,66,https://github.com/manvigallc007-spec/indousmcp,https://mcpqueen.com/s/us.namasteamerica/namaste-america,[![MCP Queen grade](https://mcpqueen.com/badge/us.namasteamerica/namaste-america.svg)](https://mcpqueen.com/s/us.namasteamerica/namaste-america)
io.github.lonniev/tollbooth-authority-northamerica,100,66,https://github.com/lonniev/tollbooth-authority-northamerica,https://mcpqueen.com/s/io.github.lonniev/tollbooth-authority-northamerica,[![MCP Queen grade](https://mcpqueen.com/badge/io.github.lonniev/tollbooth-authority-northamerica.svg)](https://mcpqueen.com/s/io.github.lonniev/tollbooth-authority-northamerica)
io.github.rccola990-cloud/x402-agent-store,100,65,https://github.com/rccola990-cloud/x402-agent-store,https://mcpqueen.com/s/io.github.rccola990-cloud/x402-agent-store,[![MCP Queen grade](https://mcpqueen.com/badge/io.github.rccola990-cloud/x402-agent-store.svg)](https://mcpqueen.com/s/io.github.rccola990-cloud/x402-agent-store)
ai.trydock/dock,100,64,https://github.com/try-dock-ai/mcp,https://mcpqueen.com/s/ai.trydock/dock,[![MCP Queen grade](https://mcpqueen.com/badge/ai.trydock/dock.svg)](https://mcpqueen.com/s/ai.trydock/dock)
io.github.Deesmo/arch-tools-mcp,100,64,https://github.com/Deesmo/Arch-AI-Tools,https://mcpqueen.com/s/io.github.Deesmo/arch-tools-mcp,[![MCP Queen grade](https://mcpqueen.com/badge/io.github.Deesmo/arch-tools-mcp.svg)](https://mcpqueen.com/s/io.github.Deesmo/arch-tools-mcp)
io.github.Argo-RPG-Platform/argo-mcp,100,63,https://github.com/Argo-RPG-Platform/MCP,https://mcpqueen.com/s/io.github.Argo-RPG-Platform/argo-mcp,[![MCP Queen grade](https://mcpqueen.com/badge/io.github.Argo-RPG-Platform/argo-mcp.svg)](https://mcpqueen.com/s/io.github.Argo-RPG-Platform/argo-mcp)
io.github.Timwal78/squeezeos,100,62,https://github.com/timwal78/squeezeos,https://mcpqueen.com/s/io.github.Timwal78/squeezeos,[![MCP Queen grade](https://mcpqueen.com/badge/io.github.Timwal78/squeezeos.svg)](https://mcpqueen.com/s/io.github.Timwal78/squeezeos)
io.github.mcp-dir/webdiet-mcp,100,62,https://github.com/mcp-dir/webdiet-mcp,https://mcpqueen.com/s/io.github.mcp-dir/webdiet-mcp,[![MCP Queen grade](https://mcpqueen.com/badge/io.github.mcp-dir/webdiet-mcp.svg)](https://mcpqueen.com/s/io.github.mcp-dir/webdiet-mcp)
io.github.lonniev/schwab-mcp,100,62,https://github.com/lonniev/schwab-mcp,https://mcpqueen.com/s/io.github.lonniev/schwab-mcp,[![MCP Queen grade](https://mcpqueen.com/badge/io.github.lonniev/schwab-mcp.svg)](https://mcpqueen.com/s/io.github.lonniev/schwab-mcp)
io.github.MarcioKorpHub/contazz-autopilot,100,61,https://github.com/MarcioKorpHub/contazz-autopilot-mcp,https://mcpqueen.com/s/io.github.MarcioKorpHub/contazz-autopilot,[![MCP Queen grade](https://mcpqueen.com/badge/io.github.MarcioKorpHub/contazz-autopilot.svg)](https://mcpqueen.com/s/io.github.MarcioKorpHub/contazz-autopilot)
